DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_05DEG_DAILY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-ATM45,V4r5
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_05DEG_MONTHLY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-ATM45,V4r5
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_DAILY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ATM45,V4r5
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_MONTHLY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ATM45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_05DEG_DAILY_V4R5,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-BOL45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_05DEG_MONTHLY_V4R5,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-BOL45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_DAILY_V4R5,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-BOL45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_MONTHLY_V4R5,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-BOL45,V4r5
ECCO Ice Shelf Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_DAILY_V4R5,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ISF45,V4r5
ECCO Ice Shelf Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_MONTHLY_V4R5,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ISF45,V4r5
ECCO Ice Front Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_FRONT_FLUX_LLC0090GRID_DAILY_V4R5,ICE_FRONT_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-IFF45,V4r5
ECCO Ice Front Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_FRONT_FLUX_LLC0090GRID_MONTHLY_V4R5,ICE_FRONT_FLUX_mon_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-IFF45,V4r5
ECCO Ice Shelf Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_05DEG_DAILY_V4R5,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-ISF45,V4r5
