concept-id,DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
C1990404801-POCLOUD,"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_05DEG_DAILY_V4r5,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-ATM44,V4r5
C1990404814-POCLOUD,"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_05DEG_MONTHLY_V4r5,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-ATM44,V4r5
C1991543823-POCLOUD,"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_DAILY_V4r5,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-ATM44,V4r5
C1991543805-POCLOUD,"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_MONTHLY_V4r5,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-ATM44,V4r5
C1990404807-POCLOUD,ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_05DEG_DAILY_V4r5,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-BOL44,V4r5
C1990404805-POCLOUD,ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_05DEG_MONTHLY_V4r5,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-BOL44,V4r5
C1991543824-POCLOUD,ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_DAILY_V4r5,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-BOL44,V4r5
C1991543745-POCLOUD,ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_MONTHLY_V4r5,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-BOL44,V4r5
C1990404793-POCLOUD,"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_05DEG_DAILY_V4r5,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-ODE44,V4r5
C1990404798-POCLOUD,"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_05DEG_MONTHLY_V4r5,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-ODE44,V4r5
C1991543727-POCLOUD,"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_DAILY_V4r5,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-ODE44,V4r5
C1991543735-POCLOUD,"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_MONTHLY_V4r5,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-ODE44,V4r5
C1990404818-POCLOUD,ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_DAILY_V4r5,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-FRE44,V4r5
C1990404792-POCLOUD,ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_MONTHLY_V4r5,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-FRE44,V4r5
