DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6)",ECCO_L4_ATMOSPHERE_STATE_05DEG_DAILY_V4R6,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-ATM46,V4r6
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean llc90 Grid (Version 4 Release 6)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_DAILY_V4R6,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-ATM46,V4r6
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6)",ECCO_L4_ATMOSPHERE_STATE_05DEG_MONTHLY_V4R6,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-ATM46,V4r6
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean llc90 Grid (Version 4 Release 6)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_MONTHLY_V4R6,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-ATM46,V4r6
ECCO Gent-McWilliams Bolus Transport Streamfunction - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_BOLUS_STREAMFUNCTION_LLC0090GRID_DAILY_V4R6,OCEAN_BOLUS_STREAMFUNCTION_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-STF46,V4r6
ECCO Gent-McWilliams Bolus Transport Streamfunction - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_BOLUS_STREAMFUNCTION_LLC0090GRID_MONTHLY_V4R6,OCEAN_BOLUS_STREAMFUNCTION_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-STF46,V4r6
ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_BOLUS_VELOCITY_05DEG_DAILY_V4R6,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-BOL46,V4r6
ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_DAILY_V4R6,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-BOL46,V4r6
ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_BOLUS_VELOCITY_05DEG_MONTHLY_V4R6,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-BOL46,V4r6
ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_MONTHLY_V4R6,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-BOL46,V4r6
ECCO Geometry Parameters - 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_GEOMETRY_05DEG_V4R6,GRID_GEOMETRY_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5A-GRD46,V4r6
ECCO Geometry Parameters - llc90 Grid (Version 4 Release 6),ECCO_L4_GEOMETRY_LLC0090GRID_V4R6,GRID_GEOMETRY_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5A-GRD46,V4r6
ECCO Global Mean Atmospheric Pressure - Snapshot (Version 4 Release 6),ECCO_L4_GMAP_TIME_SERIES_SNAPSHOT_V4R6,GLOBAL_MEAN_ATM_SURFACE_PRES_snap_ECCO_V4r6_1D.nc,10.5067/ECTSS-MAP46,V4r6
ECCO Global Mean Sea Level - Daily Mean (Version 4 Release 6),ECCO_L4_GMSL_TIME_SERIES_DAILY_V4R6,GLOBAL_MEAN_SEA_LEVEL_day_mean_ECCO_V4r6_1D.nc,10.5067/ECTSD-MSL46,V4r6
ECCO Global Mean Sea Level - Monthly Mean (Version 4 Release 6),ECCO_L4_GMSL_TIME_SERIES_MONTHLY_V4R6,GLOBAL_MEAN_SEA_LEVEL_mon_mean_ECCO_V4r6_1D.nc,10.5067/ECTSM-MSL46,V4r6
ECCO Ice Front Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_ICE_FRONT_FLUX_05DEG_DAILY_V4R6,ICE_FRONT_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-IFF46,V4r6
ECCO Ice Front Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_ICE_FRONT_FLUX_LLC0090GRID_DAILY_V4R6,ICE_FRONT_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-IFF46,V4r6
ECCO Ice Front Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_ICE_FRONT_FLUX_05DEG_MONTHLY_V4R6,ICE_FRONT_FLUX_mon_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-IFF46,V4r6
ECCO Ice Front Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_ICE_FRONT_FLUX_LLC0090GRID_MONTHLY_V4R6,ICE_FRONT_FLUX_mon_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-IFF46,V4r6
ECCO Ice Shelf Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_05DEG_DAILY_V4R6,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-ISF46,V4r6
ECCO Ice Shelf Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_DAILY_V4R6,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-ISF46,V4r6
ECCO Ice Shelf Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_05DEG_MONTHLY_V4R6,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-ISF46,V4r6
ECCO Ice Shelf Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_MONTHLY_V4R6,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-ISF46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-HEA46,V4r6
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-HEA46,V4r6
